INDEX,L1_UTM_X,L1_UTM_Y,L1_LON,L1_LAT,R1_UTM_X,R1_UTM_Y,R1_LON,R1_LAT
347,250342.351,3688312.347,126.3185846,33.30502748,250343.289,3688311.558,126.3185949,33.30502059
348,250342.483,3688312.497,126.318586,33.30502886,250343.4101,3688311.718,126.3185961,33.30502206
349,250342.6174,3688312.645,126.3185874,33.30503023,250343.5338,3688311.876,126.3185974,33.30502351
350,250342.7566,3688312.79,126.3185888,33.30503156,250343.6627,3688312.028,126.3185988,33.30502491
351,250342.8986,3688312.931,126.3185903,33.30503287,250343.7927,3688312.18,126.3186001,33.30502631
352,250343.0355,3688313.077,126.3185917,33.30503421,250343.9183,3688312.335,126.3186014,33.30502774
353,250343.169,3688313.226,126.3185931,33.30503559,250344.0412,3688312.493,126.3186027,33.30502919
354,250343.308,3688313.37,126.3185946,33.30503692,250344.1687,3688312.648,126.318604,33.30503061
355,250343.4348,3688313.525,126.3185959,33.30503835,250344.2857,3688312.81,126.3186052,33.3050321
356,250343.5612,3688313.68,126.3185972,33.30503977,250344.4002,3688312.974,126.3186064,33.30503361
357,250343.7065,3688313.817,126.3185987,33.30504104,250344.5332,3688313.123,126.3186078,33.30503497
358,250343.8396,3688313.967,126.3186001,33.30504242,250344.6556,3688313.281,126.3186091,33.30503643
359,250343.9763,3688314.113,126.3186016,33.30504377,250344.7811,3688313.437,126.3186104,33.30503786
360,250344.1122,3688314.26,126.318603,33.30504512,250344.9061,3688313.593,126.3186117,33.3050393
361,250344.2504,3688314.405,126.3186044,33.30504647,250345.0327,3688313.748,126.318613,33.30504072
362,250344.3833,3688314.555,126.3186058,33.30504784,250345.1544,3688313.906,126.3186143,33.30504218
363,250344.5192,3688314.702,126.3186072,33.3050492,250345.2793,3688314.063,126.3186156,33.30504362
364,250344.6498,3688314.853,126.3186086,33.30505059,250345.3984,3688314.224,126.3186168,33.3050451
365,250344.7868,3688314.999,126.31861,33.30505194,250345.5244,3688314.379,126.3186181,33.30504653
366,250344.9178,3688315.15,126.3186114,33.30505333,250345.6441,3688314.54,126.3186193,33.305048
367,250345.0534,3688315.297,126.3186128,33.30505469,250345.7686,3688314.696,126.3186206,33.30504944
368,250345.1828,3688315.45,126.3186141,33.30505609,250345.8879,3688314.857,126.3186219,33.30505092
369,250345.309,3688315.605,126.3186154,33.30505752,250346.0021,3688315.022,126.318623,33.30505243
370,250345.4395,3688315.756,126.3186168,33.30505891,250346.1215,3688315.183,126.3186243,33.30505391
371,250345.5697,3688315.908,126.3186182,33.30506031,250346.2402,3688315.344,126.3186255,33.30505539
372,250345.7062,3688316.054,126.3186196,33.30506166,250346.3659,3688315.5,126.3186268,33.30505682
373,250345.8347,3688316.207,126.3186209,33.30506307,250346.4828,3688315.663,126.318628,33.30505831
374,250345.9708,3688316.354,126.3186223,33.30506442,250346.6089,3688315.817,126.3186293,33.30505973
375,250346.1136,3688316.494,126.3186238,33.30506572,250346.7405,3688315.968,126.3186307,33.30506112
376,250346.2542,3688316.637,126.3186253,33.30506704,250346.8694,3688316.121,126.318632,33.30506253
377,250346.392,3688316.783,126.3186267,33.30506838,250346.9973,3688316.274,126.3186334,33.30506394
378,250346.5357,3688316.923,126.3186282,33.30506968,250347.1294,3688316.424,126.3186348,33.30506532
379,250346.6745,3688317.067,126.3186297,33.30507101,250347.2573,3688316.577,126.3186361,33.30506673
380,250346.8158,3688317.21,126.3186312,33.30507233,250347.3886,3688316.728,126.3186375,33.30506812
381,250346.9607,3688317.348,126.3186327,33.30507361,250347.5226,3688316.876,126.3186388,33.30506948
382,250347.1048,3688317.488,126.3186342,33.3050749,250347.655,3688317.025,126.3186402,33.30507086
383,250347.246,3688317.63,126.3186357,33.30507621,250347.7862,3688317.176,126.3186416,33.30507225
384,250347.3907,3688317.769,126.3186372,33.3050775,250347.9195,3688317.324,126.318643,33.30507361
385,250347.5307,3688317.912,126.3186386,33.30507882,250348.0483,3688317.477,126.3186443,33.30507502
386,250347.6705,3688318.056,126.3186401,33.30508015,250348.1788,3688317.628,126.3186457,33.30507642
387,250347.8165,3688318.193,126.3186416,33.30508142,250348.3143,3688317.775,126.3186471,33.30507776
388,250347.962,3688318.331,126.3186432,33.3050827,250348.4491,3688317.922,126.3186485,33.30507912
389,250348.1066,3688318.471,126.3186447,33.30508399,250348.5828,3688318.07,126.3186499,33.30508049
390,250348.2487,3688318.612,126.3186462,33.30508529,250348.714,3688318.221,126.3186513,33.30508188
391,250348.3885,3688318.756,126.3186476,33.30508662,250348.8432,3688318.373,126.3186526,33.30508328
392,250348.5264,3688318.901,126.3186491,33.30508796,250348.9708,3688318.528,126.3186539,33.3050847
393,250348.6641,3688319.046,126.3186505,33.3050893,250349.0981,3688318.681,126.3186553,33.30508611
394,250348.8016,3688319.192,126.3186519,33.30509064,250349.2255,3688318.835,126.3186566,33.30508753
395,250348.9383,3688319.338,126.3186534,33.305092,250349.3519,3688318.991,126.3186579,33.30508896
396,250349.0702,3688319.488,126.3186547,33.30509338,250349.474,3688319.149,126.3186592,33.30509042
397,250349.1989,3688319.642,126.3186561,33.30509479,250349.5929,3688319.31,126.3186604,33.3050919
398,250349.3275,3688319.795,126.3186574,33.3050962,250349.7112,3688319.472,126.3186616,33.30509338
399,250349.4616,3688319.943,126.3186588,33.30509756,250349.8356,3688319.628,126.3186629,33.30509482
400,250349.6426,3688320.143,126.3186607,33.30509941,250350.0341,3688319.871,126.318665,33.30509705
401,250349.7698,3688320.286,126.318662,33.30510072,250350.1465,3688320.016,126.3186661,33.30509839
402,250349.8045,3688320.322,126.3186624,33.30510106,250350.2005,3688320.095,126.3186667,33.30509911
403,250349.9231,3688320.456,126.3186636,33.3051023,250350.3068,3688320.235,126.3186678,33.30510039
404,250350.0418,3688320.59,126.3186649,33.30510353,250350.4132,3688320.374,126.3186689,33.30510168
405,250350.1606,3688320.723,126.3186661,33.30510476,250350.5197,3688320.515,126.31867,33.30510296
406,250350.2796,3688320.857,126.3186673,33.30510599,250350.6262,3688320.654,126.3186711,33.30510425
407,250350.3986,3688320.991,126.3186686,33.30510722,250350.7328,3688320.794,126.3186722,33.30510553
408,250350.5177,3688321.123,126.3186698,33.30510845,250350.8396,3688320.934,126.3186733,33.30510681
409,250350.6369,3688321.257,126.3186711,33.30510968,250350.9465,3688321.074,126.3186744,33.3051081
410,250350.7562,3688321.39,126.3186723,33.3051109,250351.0534,3688321.213,126.3186755,33.30510938
411,250350.8755,3688321.523,126.3186735,33.30511213,250351.1606,3688321.352,126.3186766,33.30511066
412,250350.9948,3688321.655,126.3186748,33.30511335,250351.2679,3688321.492,126.3186778,33.30511194
413,250351.1143,3688321.788,126.318676,33.30511457,250351.3754,3688321.631,126.3186789,33.30511322
414,250351.2337,3688321.921,126.3186773,33.3051158,250351.483,3688321.77,126.31868,33.3051145
415,250351.3532,3688322.053,126.3186785,33.30511702,250351.5908,3688321.91,126.3186811,33.30511578
416,250351.4727,3688322.186,126.3186798,33.30511824,250351.6989,3688322.049,126.3186822,33.30511706
417,250351.5921,3688322.318,126.318681,33.30511946,250351.8072,3688322.188,126.3186834,33.30511834
418,250351.7116,3688322.451,126.3186823,33.30512068,250351.9157,3688322.326,126.3186845,33.30511961
419,250351.8311,3688322.583,126.3186835,33.3051219,250352.0243,3688322.465,126.3186856,33.30512089
420,250351.9506,3688322.715,126.3186847,33.30512312,250352.1333,3688322.604,126.3186867,33.30512216
421,250352.07,3688322.848,126.318686,33.30512434,250352.2425,3688322.742,126.3186879,33.30512343
422,250352.1895,3688322.98,126.3186872,33.30512556,250352.3519,3688322.88,126.318689,33.3051247
423,250352.3089,3688323.112,126.3186885,33.30512678,250352.4616,3688323.019,126.3186901,33.30512597
424,250352.4283,3688323.244,126.3186897,33.305128,250352.5716,3688323.156,126.3186913,33.30512724
425,250352.5477,3688323.376,126.318691,33.30512922,250352.6818,3688323.294,126.3186924,33.3051285
426,250352.667,3688323.508,126.3186922,33.30513043,250352.7923,3688323.431,126.3186936,33.30512977
427,250352.7863,3688323.64,126.3186935,33.30513165,250352.9031,3688323.569,126.3186947,33.30513103
428,250352.9055,3688323.772,126.3186947,33.30513287,250353.0142,3688323.706,126.3186959,33.30513229
429,250353.0247,3688323.904,126.3186959,33.30513409,250353.1255,3688323.843,126.318697,33.30513355
430,250353.1438,3688324.037,126.3186972,33.3051353,250353.2372,3688323.979,126.3186982,33.30513481
431,250353.2629,3688324.168,126.3186984,33.30513652,250353.3491,3688324.116,126.3186994,33.30513606
432,250353.382,3688324.3,126.3186997,33.30513774,250353.4613,3688324.252,126.3187005,33.30513732
