UTM_X,UTM_Y,LAT_DD,LON_DD
250223.059381,3688232.005547,33.304275954095,126.317326769193
250223.1491,3688231.829816,33.304274391553,126.317327780394
250223.260088,3688231.669654,33.3042729742184,126.317329015514
250223.349546,3688231.499738,33.3042714640091,126.317330022308
250223.434314,3688231.319839,33.3042698627657,126.317330981535
250223.496505,3688231.144549,33.3042682978158,126.317331697238
250223.580565,3688230.972082,33.3042667633707,126.317332646816
250223.671422,3688230.795247,33.3042651911454,126.317333670532
250223.766246,3688230.622138,33.304263653411,126.317334735785
250223.826793,3688230.434695,33.3042619785812,126.317335437202
250223.921357,3688230.260466,33.3042604306953,126.317336499975
250224.000905,3688230.082688,33.304258847352,126.317337402605
250224.080444,3688229.903213,33.3042572487166,126.317338305607
250224.165108,3688229.727639,33.3042556864172,126.317339262524
250224.247856,3688229.549145,33.3042540973645,126.317340199688
250224.343793,3688229.377553,33.3042525735562,126.317341276465
250224.432703,3688229.201912,33.3042510116375,126.317342278959
250224.520893,3688229.026547,33.3042494520386,126.317343273652
250224.628044,3688228.861044,33.3042479856917,126.317344469074
250224.722438,3688228.686516,33.3042464350723,126.317345530105
250224.835838,3688228.52889,33.304245041146,126.317346790405
250224.957308,3688228.371466,33.3042436509103,126.31734813724
250225.07956,3688228.222999,33.3042423415587,126.317349489994
250225.204678,3688228.077538,33.3042410599555,126.31735087267
250225.336987,3688227.935342,33.3042398094369,126.317352331604
250225.465049,3688227.783939,33.3042384749786,126.317353747509
250225.593832,3688227.634793,33.304237161023,126.317355170528
250225.716421,3688227.48142,33.3042358075463,126.317356528252
250225.846931,3688227.33885,33.3042345532409,126.317357967986
250225.996223,3688227.210339,33.3042334299611,126.31735960537
250226.131962,3688227.070109,33.3042321979512,126.317361100565
250226.27496,3688226.932708,33.3042309931133,126.317362672868
250226.402841,3688226.788114,33.3042297199621,126.317364084952
250226.54449,3688226.656987,33.3042285713404,126.317365641048
250226.692483,3688226.534402,33.3042275011527,126.317367262858
250226.839263,3688226.40494,33.304226368722,126.317368873551
250226.983993,3688226.277733,33.3042252561336,126.317370461624
250227.120638,3688226.137411,33.3042240235047,126.317371966566
250227.248082,3688225.997474,33.3042227922118,126.317373372674
250227.391259,3688225.874316,33.3042217157449,126.317374942966
250227.55409,3688225.760136,33.3042207247259,126.317376721668
250227.71086,3688225.640958,33.3042196872698,126.317378436714
250227.869733,3688225.523076,33.3042186619781,126.317380173968
250228.035963,3688225.421262,33.3042177831648,126.317381985727
250228.207665,3688225.324129,33.3042169477959,126.317383854909
250228.380741,3688225.229431,33.3042161346847,126.317385738161
250228.555974,3688225.147416,33.3042154363477,126.317387641057
250228.724535,3688225.050131,33.304214598881,126.317389476577
250228.906588,3688224.974721,33.3042139616359,126.317391450828
250229.092849,3688224.906357,33.3042133888509,126.317393468286
250229.27183,3688224.836126,33.3042127975566,126.317395408145
250229.454642,3688224.770107,33.3042122451004,126.317397387947
250229.635117,3688224.704575,33.3042116964904,126.31739934254
250229.814142,3688224.630574,33.3042110712385,126.317401283911
250230.002328,3688224.573033,33.3042105964149,126.317403319037
250230.192973,3688224.520265,33.3042101651661,126.317405379229
250230.382716,3688224.466548,33.3042097251577,126.317407430006
250230.571884,3688224.406188,33.3042092251625,126.317409476446
250230.758227,3688224.354357,33.3042088013588,126.31741149022
250230.942908,3688224.304109,33.3042083914327,126.317413485723
250231.125743,3688224.253047,33.3042079737445,126.317415461644
250231.318111,3688224.201966,33.3042075580948,126.317417539859
250231.506417,3688224.149707,33.3042071308897,126.317419574813
250231.693228,3688224.098638,33.30420671406,126.317421593398
250231.883296,3688224.048281,33.3042063044003,126.317423646734
250232.063369,3688223.981741,33.3042057466146,126.317425597291
250232.249276,3688223.932376,33.3042053449283,126.317427605705
250232.439024,3688223.879383,33.3042049114439,126.317429656335
250232.625549,3688223.813731,33.3042043631546,126.317431675877
250232.811648,3688223.753622,33.304203864709,126.317433689317
250232.991725,3688223.682949,33.3042032696857,126.317435641058
250233.168918,3688223.590938,33.304202481738,126.317437567743
