X(E/m),Y(N/m)
250256.288165532227140,3688211.777316094376147
250256.189894910377916,3688211.580066513735801
250256.131160790508147,3688211.470589894335717
250256.034316762292292,3688211.328797374852002
250255.956955667643342,3688211.219799926038831
250255.860682274826104,3688211.100190232507885
250255.688759698532522,3688210.938131562899798
250255.535749414324528,3688210.786685141734779
250255.457817666872870,3688210.655504870228469
250255.343487928505056,3688210.558557175565511
250255.220130020781653,3688210.472940476145595
250255.105800277931849,3688210.375992782879621
250254.991470532666426,3688210.279045089613646
250254.801776914915536,3688210.150739841628820
250254.612653937278083,3688210.044617421459407
250254.471525004308205,3688209.992754138540477
250254.330110745737329,3688209.929799444507807
250254.170925476384582,3688209.900598161853850
250254.038824704999570,3688209.837403887417167
250253.888667599123437,3688209.796871609985828
250253.719883512443630,3688209.756818508263677
250253.532472447113832,3688209.717244579456747
250253.373287170776166,3688209.688043308444321
250253.232728870556457,3688209.658362868241966
250253.082857078290544,3688209.628922015428543
250252.942584099364467,3688209.610332990530878
250252.783684142166749,3688209.592223141342402
250252.633812346874038,3688209.562782295048237
250252.483940553065622,3688209.533341452013701
250252.334639403532492,3688209.526083436328918
250252.194081096560694,3688209.496403008699417
250252.053808112978004,3688209.477813995443285
250251.922848617454292,3688209.458985398057848
250251.791889118932886,3688209.440156801138073
250251.576537571992958,3688209.401301674544811
250251.370214182185009,3688209.351115550845861
250251.229941193771083,3688209.332526551093906
250251.089382879494224,3688209.302846139296889
250250.949109889566898,3688209.284257143735886
250250.817865062446799,3688209.254337147809565
250250.686905560170999,3688209.235508565790951
250250.555375402938807,3688209.194497160613537
250250.424130573082948,3688209.164577171672136
250250.292885742266662,3688209.134657181333750
250250.161640910402639,3688209.104737195651978
250250.039138914027717,3688209.052394795697182
250249.916922242729925,3688209.011143809650093
250249.794420241290936,3688208.958801414351910
250249.671632916230010,3688208.895367607008666
250249.567187237087637,3688208.820363209117204
250249.453713395836530,3688208.756689813919365
250249.349267718236661,3688208.681685418821871
250249.254135523951845,3688208.606441434007138
250249.159003332955763,3688208.531197451055050
250249.073184628156014,3688208.455713876523077
250248.987365921959281,3688208.380230304319412
250248.910575376969064,3688208.293415728490800
250248.824186014913721,3688208.195749333128333
250248.756708957458613,3688208.108695168513805
250248.688946573238354,3688208.010549591854215
250248.630497675912920,3688207.912164425011724
250248.572048779955367,3688207.813779258634895
250248.523198699462228,3688207.726245914585888
250248.473492635879666,3688207.605438333004713
250248.433385390439071,3688207.495482573751360
250248.402306304837111,3688207.374195810407400
250248.362199057999533,3688207.264240051619709
250248.349746956053423,3688207.142474106047302
250248.328266690747114,3688207.032039164565504
250248.306215768534457,3688206.899421399459243
250248.312390646868153,3688206.777176272124052
250248.299653218564345,3688206.644318914972246
250248.305828097363701,3688206.522073789034039
250248.321031145082088,3688206.388497659005225
250248.336519519158173,3688206.266012940555811
250248.361036058107857,3688206.132197220344096
250248.376239105506102,3688205.998621090780944
250248.400755645910976,3688205.864805370103568
250248.425842845754232,3688205.753172475378960
250248.478299866314046,3688205.618637982755899
250248.548242565273540,3688205.439258660655469
250248.591956754418788,3688205.327146584168077
250248.653727273311233,3688205.192372501362115
250248.706754958460806,3688205.080020835623145
250248.768810808396665,3688204.956338169053197
250248.840465483313892,3688204.843507321551442
250248.921433653740678,3688204.730436885263771
250249.002401823730906,3688204.617366450373083
250249.083369998086710,3688204.504296017345041
250249.182965162122855,3688204.390746403951198
250249.283130982512375,3688204.299379615578800
250249.373697983915918,3688204.197161008138210
250249.473578478966374,3688204.094702809583396
250249.583343125908868,3688204.014187848195434
250249.683794282696908,3688203.933912477456033
250249.793558933160966,3688203.853397518396378
250249.903608911554329,3688203.783973974175751
250250.013658891461091,3688203.714550429023802
250250.133307693264214,3688203.655978709459305
250250.252956496609841,3688203.597406991757452
250250.372605301061412,3688203.538835274521261
250250.501852927147411,3688203.491115382872522
250250.631100554397563,3688203.443395493086427
250250.778975174704101,3688203.395196429453790
250250.908508129301481,3688203.358567956369370
250251.047639904340031,3688203.332791308406740
250251.186486355349189,3688203.295923250261694
250251.325618131639203,3688203.270146606490016
250251.455721740378067,3688203.255700964480639
250251.576226527860854,3688203.230403500143439
250251.780838096368825,3688203.214041160885245
250251.920255198696395,3688203.199355940334499
250252.050358806096483,3688203.184910307172686
250252.180747739708750,3688203.181556086521596
250252.320450165745569,3688203.177962281275541
250252.450839096767595,3688203.174608065746725
250252.590826845786069,3688203.182105675805360
250252.721215776604367,3688203.178751463536173
250252.860632879543118,3688203.164066254626960
250252.991021812747931,3688203.160712046083063
250253.112382571038324,3688203.168688837438822
250253.251799674239010,3688203.154003634583205
250253.382188607240096,3688203.150649430230260
250253.512577537825564,3688203.147295229136944
250253.652565285068704,3688203.154792854562402
250253.857176854944555,3688203.138430560939014
250253.997164601663826,3688203.145928192418069
250254.127838853048161,3688203.153665408957750
250254.267255956772715,3688203.138980221468955
250254.407243704830762,3688203.146477857604623
